candidate_id,project,file,start_line,end_line,candidate_type,dominant_issue,complexity_proxy,request_parameters,session_keys,database_tables,dom_selectors,forms,allowed_transformations,oracle_status
dolibarr-C0001,dolibarr,htdocs/document.php,1,260,long_method_or_region,Long or Complex Region,60,attachment;hashp;modulepart,,,,,Extract Method,pending
dolibarr-C0002,dolibarr,htdocs/document.php,68,261,long_method_or_region,Long or Complex Region,41,attachment,,,,,Extract Method,pending
dolibarr-C0003,dolibarr,htdocs/filefunc.inc.php,1,297,mixed_php_html,Mixed PHP/HTML,121,,,,.center,,Separate PHP Logic from Markup;Extract View Helper,pending
dolibarr-C0004,dolibarr,htdocs/index.php,1,758,mixed_php_html_sql,SQL in Presentation Logic,115,mainmenu,,a;another,#boxhalfleft;#boxhalfright;.box;.boxhalfleft;.boxhalfright;.boxstats;.boxstats130;.boxstats150empty;.boxstatsborder;.boxstatscontent;.boxstatsempty;.boxstatsindicator;.boxstatstext;.boxtable;.boxtablenobottom;.clearboth;.dashboardlineindicator;.dashboardlineindicatorlate;.dashboardlinelatecoin;.ficheaddleft,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
dolibarr-C0005,dolibarr,htdocs/index.php,725,759,long_method_or_region,Long or Complex Region,11,,,,,,Extract Method,pending
dolibarr-C0006,dolibarr,htdocs/main.inc.php,1,2356,mixed_php_html_sql,SQL in Presentation Logic,577,DOL_AUTOSET_COOKIE;button_removefilter;code;confirm;dst_first;dst_second;save_lastsearch_values;tz;tz_string,disablemodules;dol_authmode;dol_company;dol_dst;dol_dst_first;dol_dst_observed;dol_dst_second;dol_entity;dol_hide_leftmenu;dol_hide_topmenu;dol_login;dol_loginmesg;dol_no_mouse_hover;dol_optimize_smallscreen;dol_resetcache;dol_screenheight;dol_screenwidth;dol_tz;dol_tz_string;dol_use_jmobile;newtoken;token;vars,HTML;a;an;another;bad;cookies;dol_hide_topmenu;forms;global;helppagename;html;its;left;module;multiple;page;php;placeholder;security2;select2;session;setup;sql;the;tmp;url;your,"#.$user->id.;#.session_id());

		$db->begin();

		$user->update_last_login_date();

		$loginfo = ;#blockvmenuhelp;#blockvmenuhelpapp;#blockvmenuhelpbugreport;#dialogforpopup;#divsearchforms1;#divsearchforms2;#dropdown-icon-down;#dropdown-icon-up;#id-container;#id-left;#id-right;#id-top;#mainbody;#side-nav;#tmenu_tooltip;#topmenu-login-dropdown;#topmenuloginmoreinfo;#topmenuloginmoreinfo-btn",,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
dolibarr-C0007,dolibarr,htdocs/main.inc.php,89,145,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
dolibarr-C0008,dolibarr,htdocs/main.inc.php,145,252,session_dependent_logic,Session-Dependent Logic,23,DOL_AUTOSET_COOKIE,vars,,,,Extract Guard;Extract Method,pending
dolibarr-C0009,dolibarr,htdocs/main.inc.php,252,1100,session_dependent_logic,Session-Dependent Logic,205,code;confirm;dst_first;dst_second;save_lastsearch_values;tz;tz_string,disablemodules;dol_authmode;dol_company;dol_dst;dol_dst_first;dol_dst_observed;dol_dst_second;dol_entity;dol_hide_leftmenu;dol_hide_topmenu;dol_login;dol_loginmesg;dol_no_mouse_hover;dol_optimize_smallscreen;dol_screenheight;dol_screenwidth;dol_tz;dol_tz_string;dol_use_jmobile;newtoken;token,,"#.session_id());

		$db->begin();

		$user->update_last_login_date();

		$loginfo = ;.drag;.drop;.impair;.nodrag;.nodrop;.nohover;.nohoverpair;.oddeven;.pair;.tagtr",,Extract Guard;Extract Method,pending
dolibarr-C0010,dolibarr,htdocs/main.inc.php,1146,1212,long_method_or_region,Long or Complex Region,12,,,,,,Extract Method,pending
dolibarr-C0011,dolibarr,htdocs/main.inc.php,1212,1542,session_dependent_logic,Session-Dependent Logic,162,,dol_resetcache,,,,Extract Guard;Extract Method,pending
dolibarr-C0012,dolibarr,htdocs/main.inc.php,1542,1738,session_dependent_logic,Session-Dependent Logic,31,,dol_authmode,,#id-container;#id-top;#mainbody;#tmenu_tooltip;.atoplogin;.fa;.fa-bug;.fa-print;.fa-question-circle;.help;.id-container;.inline-block;.login;.login_block;.login_block_elem;.login_block_elem_name;.login_block_other;.login_block_user;.nowrap;.printer,,Extract Guard;Extract Method,pending
dolibarr-C0013,dolibarr,htdocs/main.inc.php,1738,1919,session_dependent_logic,Session-Dependent Logic,31,,disablemodules;dol_authmode;dol_screenheight;dol_screenwidth,,#.$user->id.;#dropdown-icon-down;#dropdown-icon-up;#topmenu-login-dropdown;#topmenuloginmoreinfo;#topmenuloginmoreinfo-btn;.atoplogin;.atoploginusername;.button-top-menu-dropdown;.classfortooltip;.dropdown;.dropdown-menu;.dropdown-toggle;.dropdown-user-image;.fa;.fa-caret-right;.fa-chevron-down;.fa-chevron-up;.fa-cog;.fa-sign-out-alt,,Extract Guard;Extract Method,pending
dolibarr-C0014,dolibarr,htdocs/main.inc.php,1919,2098,long_method_or_region,Long or Complex Region,31,,,,#blockvmenuhelp;#blockvmenuhelpapp;#blockvmenuhelpbugreport;#divsearchforms1;#divsearchforms2;#id-left;#side-nav;.blockvmenuhelp;.blockvmenuimpair;.blockvmenusearchphone;.help;.side-nav;.vmenu,,Extract Method,pending
dolibarr-C0015,dolibarr,htdocs/main.inc.php,2119,2172,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
dolibarr-C0016,dolibarr,htdocs/main.inc.php,2209,2357,form_handling,Request Handling Mixed With Rendering,41,button_removefilter,,,#dialogforpopup;.error;.fiche,,Extract Validation Helper;Extract Method;Extract View Helper,pending
dolibarr-C0017,dolibarr,htdocs/master.inc.php,1,248,form_handling,Request Handling Mixed With Rendering,57,loginfunction;username,dol_entity;dol_login,,,,Extract Validation Helper;Extract Method;Extract View Helper,pending
dolibarr-C0018,dolibarr,htdocs/viewimage.php,1,314,long_method_or_region,Long or Complex Region,74,entity;file;hashp;modulepart;noalt,,,,,Extract Method,pending
dolibarr-C0019,dolibarr,htdocs/viewimage.php,79,315,long_method_or_region,Long or Complex Region,45,file;noalt,,,,,Extract Method,pending
dolibarr-C0020,dolibarr,test/phpunit/AllTests.php,75,255,long_method_or_region,Long or Complex Region,2,,,,,,Extract Method,pending
dolibarr-C0021,dolibarr,test/phpunit/CodingPhpTest.php,138,258,long_method_or_region,Long or Complex Region,24,,,,,,Extract Method,pending
dolibarr-C0022,dolibarr,test/phpunit/CodingSqlTest.php,138,226,long_method_or_region,Long or Complex Region,22,,,,,,Extract Method,pending
dolibarr-C0023,dolibarr,test/phpunit/CommandeFournisseurTest.php,1,388,sql_data_access,SQL/Data Access Region,17,,,database;later;local,"#.$id.;#.$localobject->id.;#.$user->id;
        //print ",,Light Data-Access Isolation;Extract Method,pending
dolibarr-C0024,dolibarr,test/phpunit/CommandeFournisseurTest.php,127,245,sql_data_access,SQL/Data Access Region,6,,,database;later,,,Light Data-Access Isolation;Extract Method,pending
dolibarr-C0025,dolibarr,test/phpunit/CoreTest.php,1,400,mixed_php_html,Mixed PHP/HTML,36,,,,"#.$user->id;
        //print ",,Separate PHP Logic from Markup;Extract View Helper,pending
dolibarr-C0026,dolibarr,test/phpunit/CoreTest.php,128,238,long_method_or_region,Long or Complex Region,13,,,,,,Extract Method,pending
dolibarr-C0027,dolibarr,test/phpunit/CoreTest.php,263,401,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
dolibarr-C0028,dolibarr,test/phpunit/DateLibTest.php,177,235,long_method_or_region,Long or Complex Region,14,,,,,,Extract Method,pending
dolibarr-C0029,dolibarr,test/phpunit/ExpenseReportTest.php,1,314,sql_data_access,SQL/Data Access Region,13,,,local,"#.$id.;#.$localobject->id.;#.$user->id;
        //print ",,Light Data-Access Isolation;Extract Method,pending
dolibarr-C0030,dolibarr,test/phpunit/ExpenseReportTest.php,126,171,sql_data_access,SQL/Data Access Region,2,,,,,,Light Data-Access Isolation;Extract Method,pending
dolibarr-C0031,dolibarr,test/phpunit/ExportTest.php,1,357,mixed_php_html_sql,SQL in Presentation Logic,22,,,declaration;local;modules,"#.$user->id;
		//print ",,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
dolibarr-C0032,dolibarr,test/phpunit/ExportTest.php,216,265,sql_data_access,SQL/Data Access Region,2,,,,,,Light Data-Access Isolation;Extract Method,pending
dolibarr-C0033,dolibarr,test/phpunit/ExportTest.php,265,316,sql_data_access,SQL/Data Access Region,2,,,modules,,,Light Data-Access Isolation;Extract Method,pending
dolibarr-C0034,dolibarr,test/phpunit/FactureRecTest.php,174,203,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
dolibarr-C0035,dolibarr,test/phpunit/FactureTest.php,352,381,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
dolibarr-C0036,dolibarr,test/phpunit/FunctionsLibTest.php,1,1287,mixed_php_html,Mixed PHP/HTML,27,,,,"#.$user->id;
        //print ;#abc;.azerty;.inline-block",,Separate PHP Logic from Markup;Extract View Helper,pending
dolibarr-C0037,dolibarr,test/phpunit/FunctionsLibTest.php,969,1073,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
dolibarr-C0038,dolibarr,test/phpunit/LangTest.php,138,181,long_method_or_region,Long or Complex Region,12,,,,,,Extract Method,pending
dolibarr-C0039,dolibarr,test/phpunit/MouvementStockTest.php,127,231,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
dolibarr-C0040,dolibarr,test/phpunit/NumberingModulesTest.php,126,579,long_method_or_region,Long or Complex Region,37,,,,,,Extract Method,pending
dolibarr-C0041,dolibarr,test/phpunit/PgsqlTest.php,128,182,sql_data_access,SQL/Data Access Region,1,,,table,,,Light Data-Access Isolation;Extract Method,pending
dolibarr-C0042,dolibarr,test/phpunit/PricesTest.php,135,314,long_method_or_region,Long or Complex Region,6,,,,,,Extract Method,pending
dolibarr-C0043,dolibarr,test/phpunit/SecurityTest.php,1,321,long_method_or_region,Long or Complex Region,19,param1;param2;param3;param4;param5,,,"#.$user->id;
		//print ",,Extract Method,pending
dolibarr-C0044,dolibarr,test/phpunit/UserTest.php,324,348,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
dolibarr-C0045,dolibarr,test/phpunit/WebservicesInvoicesTest.php,186,286,long_method_or_region,Long or Complex Region,3,,,,,,Extract Method,pending
dolibarr-C0046,dolibarr,scripts/accountancy/export-thirdpartyaccount.php,1,234,mixed_php_html_sql,SQL in Presentation Logic,24,,,,.button;.left;.liste_titre;.noborder;.notopnoleftnoright;.oddeven,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
dolibarr-C0047,dolibarr,scripts/accountancy/export-thirdpartyaccount.php,114,235,sql_data_access,SQL/Data Access Region,8,,,,.left;.liste_titre;.noborder;.notopnoleftnoright;.oddeven,,Light Data-Access Isolation;Extract Method,pending
dolibarr-C0048,dolibarr,scripts/bank/export-bank-receipts.php,1,399,mixed_php_html_sql,SQL in Presentation Logic,61,,,Excel;command;dir;directory,#.$links[$key][,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
dolibarr-C0049,dolibarr,scripts/company/sync_contacts_dolibarr2ldap.php,1,151,sql_data_access,SQL/Data Access Region,18,,,Dolibarr;a;all;command,,,Light Data-Access Isolation;Extract Method,pending
dolibarr-C0050,dolibarr,scripts/contracts/email_expire_services_to_customers.php,1,295,sql_data_access,SQL/Data Access Region,68,,,command,,,Light Data-Access Isolation;Extract Method,pending
