candidate_id,project,file,start_line,end_line,candidate_type,dominant_issue,complexity_proxy,request_parameters,session_keys,database_tables,dom_selectors,forms,allowed_transformations,oracle_status
opencart-C0001,opencart,upload/install/cli_install.php,1,364,sql_data_access,SQL/Data Access Region,35,,,oc_,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0002,opencart,upload/install/cli_install.php,143,181,long_method_or_region,Long or Complex Region,15,,,,,,Extract Method,pending
opencart-C0003,opencart,upload/install/cli_install.php,181,237,sql_data_access,SQL/Data Access Region,6,,,oc_,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0004,opencart,upload/system/helper/bbcode.php,1,70,mixed_php_html,Mixed PHP/HTML,24,,,,.img-responsive,,Separate PHP Logic from Markup;Extract View Helper,pending
opencart-C0005,opencart,upload/system/helper/bbcode.php,3,70,long_method_or_region,Long or Complex Region,23,,,,.img-responsive,,Extract Method,pending
opencart-C0006,opencart,upload/system/helper/utf8.php,53,289,long_method_or_region,Long or Complex Region,5,,,,,,Extract Method,pending
opencart-C0007,opencart,upload/system/helper/utf8.php,289,525,long_method_or_region,Long or Complex Region,5,,,,,,Extract Method,pending
opencart-C0008,opencart,upload/system/library/image.php,195,250,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
opencart-C0009,opencart,upload/system/library/openbay.php,1,452,sql_data_access,SQL/Data Access Region,47,,,information_schema,.\openbay\\,,Light Data-Access Isolation;Extract Method,pending
opencart-C0010,opencart,upload/system/library/openbay.php,181,308,sql_data_access,SQL/Data Access Region,14,,,,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0011,opencart,upload/system/library/openbay.php,376,427,sql_data_access,SQL/Data Access Region,4,,,,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0012,opencart,upload/system/library/pagination.php,1,106,mixed_php_html,Mixed PHP/HTML,18,,,,.active;.pagination,,Separate PHP Logic from Markup;Extract View Helper,pending
opencart-C0013,opencart,upload/system/library/pagination.php,29,107,long_method_or_region,Long or Complex Region,17,,,,.active;.pagination,,Extract Method,pending
opencart-C0014,opencart,upload/system/library/squareup.php,41,155,long_method_or_region,Long or Complex Region,19,,,,,,Extract Method,pending
opencart-C0015,opencart,upload/system/library/cart/cart.php,1,407,sql_data_access,SQL/Data Access Region,64,,,the,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0016,opencart,upload/system/library/cart/cart.php,33,272,sql_data_access,SQL/Data Access Region,35,,,,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0017,opencart,upload/system/library/cart/currency.php,1,115,sql_data_access,SQL/Data Access Region,15,,,,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0018,opencart,upload/system/library/cart/tax.php,1,128,sql_data_access,SQL/Data Access Region,16,,,,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0019,opencart,upload/system/library/db/mpdo.php,1,111,sql_data_access,SQL/Data Access Region,15,,,,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0020,opencart,upload/system/library/googleshopping/googleshopping.php,1,1919,sql_data_access,SQL/Data Access Region,207,,,destination_statuses;has_issues;impressions;the,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0021,opencart,upload/system/library/googleshopping/googleshopping.php,246,306,sql_data_access,SQL/Data Access Region,15,,,,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0022,opencart,upload/system/library/googleshopping/googleshopping.php,310,442,long_method_or_region,Long or Complex Region,30,,,,,,Extract Method,pending
opencart-C0023,opencart,upload/system/library/googleshopping/googleshopping.php,502,548,sql_data_access,SQL/Data Access Region,6,,,,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0024,opencart,upload/system/library/googleshopping/googleshopping.php,594,725,long_method_or_region,Long or Complex Region,19,,,,,,Extract Method,pending
opencart-C0025,opencart,upload/system/library/googleshopping/googleshopping.php,780,871,sql_data_access,SQL/Data Access Region,16,,,destination_statuses;has_issues,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0026,opencart,upload/system/library/googleshopping/googleshopping.php,1196,1314,long_method_or_region,Long or Complex Region,20,,,,,,Extract Method,pending
opencart-C0027,opencart,upload/system/library/googleshopping/googleshopping.php,1853,1920,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
opencart-C0028,opencart,upload/system/library/mail/mail.php,4,80,long_method_or_region,Long or Complex Region,28,,,,,,Extract Method,pending
opencart-C0029,opencart,upload/system/library/mail/smtp.php,11,350,long_method_or_region,Long or Complex Region,76,,,,,,Extract Method,pending
opencart-C0030,opencart,upload/system/library/openbay/amazon.php,1,534,sql_data_access,SQL/Data Access Region,56,,,admin;needed,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0031,opencart,upload/system/library/openbay/amazon.php,136,176,sql_data_access,SQL/Data Access Region,8,,,,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0032,opencart,upload/system/library/openbay/amazon.php,229,288,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
opencart-C0033,opencart,upload/system/library/openbay/amazonus.php,1,509,sql_data_access,SQL/Data Access Region,56,,,admin;needed,,,Light Data-Access Isolation;Extract Method,pending
opencart-C0034,opencart,upload/system/library/openbay/amazonus.php,136,176,sql_data_access,SQL/Data Access Region,8,,,,,,Light Data-Access Isolation;Extract Method,pending
