candidate_id,project,file,start_line,end_line,candidate_type,dominant_issue,complexity_proxy,request_parameters,session_keys,database_tables,dom_selectors,forms,allowed_transformations,oracle_status
phpmyadmin-C0001,phpmyadmin,changelog.php,1,117,mixed_php_html,Mixed PHP/HTML,22,,,,,,Separate PHP Logic from Markup;Extract View Helper,pending
phpmyadmin-C0002,phpmyadmin,db_central_columns.php,1,181,form_handling,Request Handling Mixed With Rendering,21,add_column;add_new_column;col_attribute;col_default;col_default_sel;col_extra;col_isNull;col_length;col_name;col_type;collation;column-select;cur_table;db;delete_save;edit_central_columns_page;edit_save;getColumnList;multi_edit_central_column_save;orig_col_name;populateColumns;pos;selectedTable;selected_fld;table-select;total_rows,,,#del_col_name;#del_form;#table_columns;#tableslistcontainer;.data;.tablesorter,db_central_columns.php;tableslistcontainer,Extract Validation Helper;Extract Method;Extract View Helper,pending
phpmyadmin-C0003,phpmyadmin,db_datadict.php,1,215,mixed_php_html,Mixed PHP/HTML,29,,,,.nowrap;.print,,Separate PHP Logic from Markup;Extract View Helper,pending
phpmyadmin-C0004,phpmyadmin,db_designer.php,1,228,form_handling,Request Handling Mixed With Rendering,28,DB1;DB2;F1;F2;T1;T2;db;dialog;field;index;on_delete;on_update;operation;page;query;save_page;selected_page;selected_value;table;value,,,#PMA_disable_floating_menubar;#canvas_outer;#container-form;#designer_hint,form1,Extract Validation Helper;Extract Method;Extract View Helper,pending
phpmyadmin-C0005,phpmyadmin,db_export.php,1,150,form_handling,Request Handling Mixed With Rendering,20,selected_tbl;structure_or_data_forced;table_data;table_select;table_structure,,,#table_data_all;#table_structure_all;.all;.checkall;.export_data;.export_structure;.export_table_list_container;.export_table_name;.export_table_select;.marked,,Extract Validation Helper;Extract Method;Extract View Helper,pending
phpmyadmin-C0006,phpmyadmin,db_operations.php,1,308,form_handling,Request Handling Mixed With Rendering,43,adjust_privileges;comment;create_database_before_copying;db;db_copy;db_rename;newname;switch_to_new,pma_switch_to_new,,,,Extract Validation Helper;Extract Method;Extract View Helper,pending
phpmyadmin-C0007,phpmyadmin,db_qbe.php,1,178,form_handling,Request Handling Mixed With Rendering,14,action;db;searchId;searchName;submit_sql,,,,,Extract Validation Helper;Extract Method;Extract View Helper,pending
phpmyadmin-C0008,phpmyadmin,db_search.php,1,73,form_handling,Request Handling Mixed With Rendering,10,ajax_page_request;submit_search,,,#searchresults;#togglesearchresultlink;#togglesearchresultsdiv;.clearfloat,,Extract Validation Helper;Extract Method;Extract View Helper,pending
phpmyadmin-C0009,phpmyadmin,db_tracking.php,1,154,sql_data_access,SQL/Data Access Region,20,delete_tracking;selected;selected_tbl;submit_create_version;submit_mult;table;version,,,,,Light Data-Access Isolation;Extract Method,pending
phpmyadmin-C0010,phpmyadmin,error_report.php,1,135,form_handling,Request Handling Mixed With Rendering,24,always_send;automatic;exception_type;get_settings;send_error_report,error_subm_count;prev_error_subm_time;prev_errors,,,,Extract Validation Helper;Extract Method;Extract View Helper,pending
