candidate_id,project,file,start_line,end_line,candidate_type,dominant_issue,complexity_proxy,request_parameters,session_keys,database_tables,dom_selectors,forms,allowed_transformations,oracle_status
phppgadmin-C0001,phppgadmin,admin.php,1,753,form_handling,Request Handling Mixed With Rendering,119,analyze;autovacuum_analyze_scale_factor;autovacuum_analyze_threshold;autovacuum_enabled;autovacuum_vacuum_cost_delay;autovacuum_vacuum_cost_limit;autovacuum_vacuum_scale_factor;autovacuum_vacuum_threshold;cluster;database;ma;object;reindex;reindex_force;save;schema;table;vacuum;vacuum_analyze;vacuum_freeze;vacuum_full,,,,,Extract Validation Helper;Extract Method;Extract View Helper,pending
phppgadmin-C0002,phppgadmin,admin.php,8,91,long_method_or_region,Long or Complex Region,13,ma;object;table,,,,,Extract Method,pending
phppgadmin-C0003,phppgadmin,admin.php,91,169,long_method_or_region,Long or Complex Region,13,ma;object;reindex_force;table,,,,,Extract Method,pending
phppgadmin-C0004,phppgadmin,admin.php,169,244,long_method_or_region,Long or Complex Region,11,ma;object;table,,,,,Extract Method,pending
phppgadmin-C0005,phppgadmin,admin.php,244,321,long_method_or_region,Long or Complex Region,14,ma;object;table;vacuum_analyze;vacuum_freeze;vacuum_full,,,,,Extract Method,pending
phppgadmin-C0006,phppgadmin,admin.php,321,415,long_method_or_region,Long or Complex Region,16,autovacuum_analyze_scale_factor;autovacuum_analyze_threshold;autovacuum_enabled;autovacuum_vacuum_cost_delay;autovacuum_vacuum_cost_limit;autovacuum_vacuum_scale_factor;autovacuum_vacuum_threshold;table,,,,,Extract Method,pending
phppgadmin-C0007,phppgadmin,admin.php,465,570,long_method_or_region,Long or Complex Region,14,object;table,,,,,Extract Method,pending
phppgadmin-C0008,phppgadmin,admin.php,570,678,long_method_or_region,Long or Complex Region,8,table,,,,,Extract Method,pending
phppgadmin-C0009,phppgadmin,admin.php,678,754,long_method_or_region,Long or Complex Region,32,analyze;cluster;database;object;reindex;save;table;vacuum,,,,,Extract Method,pending
phppgadmin-C0010,phppgadmin,aggregates.php,1,462,form_handling,Request Handling Mixed With Rendering,42,action;aggrcomment;aggrname;aggrowner;aggrschema;aggrtype;alter;basetype;cancel;cascade;database;drop;ffunc;initcond;name;newaggrcomment;newaggrname;newaggrowner;newaggrschema;schema;server;sfunc;sortop;stype,,,,,Extract Validation Helper;Extract Method;Extract View Helper,pending
phppgadmin-C0011,phppgadmin,aggregates.php,399,463,long_method_or_region,Long or Complex Region,13,alter;cancel;drop,,,,,Extract Method,pending
phppgadmin-C0012,phppgadmin,ajax-ac-insert.php,1,92,mixed_php_html_sql,SQL in Presentation Logic,14,f_schema;f_table;fattpos;fkeynames;fvalue;keys;offset,,,,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phppgadmin-C0013,phppgadmin,all_db.php,1,532,mixed_php_html_sql,SQL in Presentation Logic,86,action;alterdatabase;cancel;dbcomment;drop;dropdatabase;formCType;formCollate;formComment;formEncoding;formName;formSpc;formTemplate;ma;newname;oldname;owner;server,,the,,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phppgadmin-C0014,phppgadmin,all_db.php,18,82,long_method_or_region,Long or Complex Region,11,alterdatabase;dbcomment;newname;oldname;owner,,,,,Extract Method,pending
phppgadmin-C0015,phppgadmin,all_db.php,82,148,long_method_or_region,Long or Complex Region,10,dropdatabase;ma,,,,,Extract Method,pending
