candidate_id,project,file,start_line,end_line,candidate_type,dominant_issue,complexity_proxy,request_parameters,session_keys,database_tables,dom_selectors,forms,allowed_transformations,oracle_status
roundcubemail-C0001,roundcubemail,index.php,1,323,form_handling,Request Handling Mixed With Rendering,55,_code;_err,storage_host;temp;user_id;username,,,,Extract Validation Helper;Extract Method;Extract View Helper,pending
roundcubemail-C0002,roundcubemail,config/defaults.inc.php,1,1287,sql_data_access,SQL/Data Access Region,182,,,CAPABILITY;Clickjacking;above;caching;date_format;e;http;image;message;of;renames;skins;supported;the;these;user;users,,,Light Data-Access Isolation;Extract Method,pending
roundcubemail-C0003,roundcubemail,installer/check.php,1,283,mixed_php_html_sql,SQL in Presentation Logic,61,,,,.fail;.hint;.warning,index.php,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
roundcubemail-C0004,roundcubemail,installer/config.php,1,693,form_handling,Request Handling Mixed With Rendering,161,_dbhost;_dbname;_dbpass;_dbtype;_dbuser;_smtp_user_u;_spellcheck_engine;submit,allowinstaller;config,,#cgfblockdb;#cgfblockdisplay;#cgfblockimap;#cgfblocksmtp;#defaulthostentry;#defaulthostlist;#getconfig_form;.addlink;.configblock;.hint;.loggingblock;.notice;.propname;.removelink;.userconf,index.php,Extract Validation Helper;Extract Method;Extract View Helper,pending
roundcubemail-C0005,roundcubemail,installer/index.php,1,169,form_handling,Request Handling Mixed With Rendering,30,_getconfig;_mergeconfig;_step,allowinstaller;config,,#banner;#content;#footer;#progress;#topnav;.banner-bg;.banner-logo;.error;.step%d%s,,Extract Validation Helper;Extract Method;Extract View Helper,pending
roundcubemail-C0006,roundcubemail,installer/test.php,1,466,mixed_php_html_sql,SQL in Presentation Logic,107,_from;_host;_pass;_smtp_pass;_smtp_user;_to;_user;imaptest;initdb;sendmail;updatedb;version,,PHP;Roundcube;failed;from;queries;the;them;these;your,.configwarings;.hint;.suggestion;.warning,index.php?_step=3,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
roundcubemail-C0007,roundcubemail,tests/Framework/DB.php,1,184,sql_data_access,SQL/Data Access Region,59,,,CASCADE;prefix_xxx;xxx,,,Light Data-Access Isolation;Extract Method,pending
roundcubemail-C0008,roundcubemail,tests/Framework/DB.php,25,77,sql_data_access,SQL/Data Access Region,2,,,CASCADE;prefix_xxx;xxx,,,Light Data-Access Isolation;Extract Method,pending
roundcubemail-C0009,roundcubemail,tests/Framework/DB.php,77,136,long_method_or_region,Long or Complex Region,57,,,,,,Extract Method,pending
roundcubemail-C0010,roundcubemail,tests/Framework/Mime.php,1,280,mixed_php_html,Mixed PHP/HTML,76,,,,,,Separate PHP Logic from Markup;Extract View Helper,pending
