project,file,php_version,status,message
dokuwiki,bin/dwpage.php,5.6.40,PASS,No syntax errors detected in /var/www/html/bin/dwpage.php
dokuwiki,doku.php,5.6.40,PASS,No syntax errors detected in /var/www/html/doku.php
dokuwiki,feed.php,5.6.40,PASS,No syntax errors detected in /var/www/html/feed.php
dokuwiki,inc/Action/Edit.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Action/Edit.php
dokuwiki,inc/Action/Resendpwd.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Action/Resendpwd.php
dokuwiki,inc/Action/Search.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Action/Search.php
dokuwiki,inc/Action/Subscribe.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Action/Subscribe.php
dokuwiki,inc/Ajax.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Ajax.php
dokuwiki,inc/DifferenceEngine.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/DifferenceEngine.php
dokuwiki,inc/Form/Form.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Form/Form.php
dokuwiki,inc/Form/InputElement.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Form/InputElement.php
dokuwiki,inc/Form/LegacyForm.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Form/LegacyForm.php
dokuwiki,inc/HTTPClient.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/HTTPClient.php
dokuwiki,inc/IXR_Library.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/IXR_Library.php
dokuwiki,inc/Input.class.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Input.class.php
dokuwiki,inc/JSON.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/JSON.php
dokuwiki,inc/JpegMeta.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/JpegMeta.php
dokuwiki,inc/Mailer.class.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Mailer.class.php
dokuwiki,inc/Manifest.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Manifest.php
dokuwiki,inc/Menu/Item/AbstractItem.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Menu/Item/AbstractItem.php
dokuwiki,inc/PassHash.class.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/PassHash.class.php
dokuwiki,inc/PluginTrait.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/PluginTrait.php
dokuwiki,inc/RemoteAPICore.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/RemoteAPICore.php
dokuwiki,inc/Sitemapper.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Sitemapper.php
dokuwiki,inc/StyleUtils.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/StyleUtils.php
dokuwiki,inc/Ui/Admin.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Ui/Admin.php
dokuwiki,inc/Ui/Search.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Ui/Search.php
dokuwiki,inc/Ui/SearchState.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/Ui/SearchState.php
dokuwiki,inc/auth.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/auth.php
dokuwiki,inc/cache.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/cache.php
dokuwiki,inc/changelog.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/changelog.php
dokuwiki,inc/cli.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/cli.php
dokuwiki,inc/common.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/common.php
dokuwiki,inc/confutils.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/confutils.php
dokuwiki,inc/farm.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/farm.php
dokuwiki,inc/fetch.functions.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/fetch.functions.php
dokuwiki,inc/form.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/form.php
dokuwiki,inc/fulltext.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/fulltext.php
dokuwiki,inc/html.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/html.php
dokuwiki,inc/httputils.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/httputils.php
dokuwiki,inc/indexer.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/indexer.php
dokuwiki,inc/infoutils.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/infoutils.php
dokuwiki,inc/init.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/init.php
dokuwiki,inc/io.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/io.php
dokuwiki,inc/lang/da/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/lang/da/lang.php
dokuwiki,inc/lang/en/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/lang/en/lang.php
dokuwiki,inc/lang/et/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/lang/et/lang.php
dokuwiki,inc/lang/fr/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/lang/fr/lang.php
dokuwiki,inc/lang/hu/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/lang/hu/lang.php
dokuwiki,inc/lang/mk/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/lang/mk/lang.php
dokuwiki,inc/lang/mr/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/lang/mr/lang.php
dokuwiki,inc/lang/no/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/lang/no/lang.php
dokuwiki,inc/lang/pt-br/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/lang/pt-br/lang.php
dokuwiki,inc/lang/sq/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/lang/sq/lang.php
dokuwiki,inc/load.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/load.php
dokuwiki,inc/mail.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/mail.php
dokuwiki,inc/media.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/media.php
dokuwiki,inc/pageutils.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/pageutils.php
dokuwiki,inc/parser/handler.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/parser/handler.php
dokuwiki,inc/parser/lexer.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/parser/lexer.php
dokuwiki,inc/parser/parser.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/parser/parser.php
dokuwiki,inc/parser/renderer.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/parser/renderer.php
dokuwiki,inc/parser/xhtml.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/parser/xhtml.php
dokuwiki,inc/parser/xhtmlsummary.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/parser/xhtmlsummary.php
dokuwiki,inc/parserutils.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/parserutils.php
dokuwiki,inc/plugincontroller.class.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/plugincontroller.class.php
dokuwiki,inc/search.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/search.php
dokuwiki,inc/subscription.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/subscription.php
dokuwiki,inc/template.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/template.php
dokuwiki,inc/toolbar.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/toolbar.php
dokuwiki,inc/utf8.php,5.6.40,PASS,No syntax errors detected in /var/www/html/inc/utf8.php
dokuwiki,install.php,5.6.40,PASS,No syntax errors detected in /var/www/html/install.php
dokuwiki,lib/exe/css.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/exe/css.php
dokuwiki,lib/exe/indexer.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/exe/indexer.php
dokuwiki,lib/exe/js.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/exe/js.php
dokuwiki,lib/images/fileicons/index.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/images/fileicons/index.php
dokuwiki,lib/plugins/acl/admin.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/acl/admin.php
dokuwiki,lib/plugins/auth.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/auth.php
dokuwiki,lib/plugins/authad/adLDAP/adLDAP.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/authad/adLDAP/adLDAP.php
dokuwiki,lib/plugins/authad/adLDAP/classes/adLDAPExchange.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/authad/adLDAP/classes/adLDAPExchange.php
dokuwiki,lib/plugins/authad/adLDAP/classes/adLDAPFolders.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/authad/adLDAP/classes/adLDAPFolders.php
dokuwiki,lib/plugins/authad/adLDAP/classes/adLDAPGroups.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/authad/adLDAP/classes/adLDAPGroups.php
dokuwiki,lib/plugins/authad/adLDAP/classes/adLDAPUsers.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/authad/adLDAP/classes/adLDAPUsers.php
dokuwiki,lib/plugins/authad/auth.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/authad/auth.php
dokuwiki,lib/plugins/authldap/auth.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/authldap/auth.php
dokuwiki,lib/plugins/authmysql/auth.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/authmysql/auth.php
dokuwiki,lib/plugins/authmysql/lang/en/settings.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/authmysql/lang/en/settings.php
dokuwiki,lib/plugins/authpdo/auth.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/authpdo/auth.php
dokuwiki,lib/plugins/authpgsql/auth.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/authpgsql/auth.php
dokuwiki,lib/plugins/authpgsql/lang/en/settings.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/authpgsql/lang/en/settings.php
dokuwiki,lib/plugins/config/admin.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/admin.php
dokuwiki,lib/plugins/config/lang/cy/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/cy/lang.php
dokuwiki,lib/plugins/config/lang/da/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/da/lang.php
dokuwiki,lib/plugins/config/lang/de-informal/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/de-informal/lang.php
dokuwiki,lib/plugins/config/lang/de/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/de/lang.php
dokuwiki,lib/plugins/config/lang/en/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/en/lang.php
dokuwiki,lib/plugins/config/lang/es/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/es/lang.php
dokuwiki,lib/plugins/config/lang/hr/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/hr/lang.php
dokuwiki,lib/plugins/config/lang/hu/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/hu/lang.php
dokuwiki,lib/plugins/config/lang/it/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/it/lang.php
dokuwiki,lib/plugins/config/lang/ko/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/ko/lang.php
dokuwiki,lib/plugins/config/lang/no/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/no/lang.php
dokuwiki,lib/plugins/config/lang/pt-br/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/pt-br/lang.php
dokuwiki,lib/plugins/config/lang/pt/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/pt/lang.php
dokuwiki,lib/plugins/config/lang/sk/lang.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/lang/sk/lang.php
dokuwiki,lib/plugins/config/settings/config.class.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/settings/config.class.php
dokuwiki,lib/plugins/config/settings/config.metadata.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/settings/config.metadata.php
dokuwiki,lib/plugins/config/settings/extra.class.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/config/settings/extra.class.php
dokuwiki,lib/plugins/extension/admin.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/extension/admin.php
dokuwiki,lib/plugins/extension/helper/extension.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/extension/helper/extension.php
dokuwiki,lib/plugins/extension/helper/gui.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/extension/helper/gui.php
dokuwiki,lib/plugins/extension/helper/list.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/extension/helper/list.php
dokuwiki,lib/plugins/info/syntax.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/info/syntax.php
dokuwiki,lib/plugins/popularity/admin.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/popularity/admin.php
dokuwiki,lib/plugins/popularity/helper.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/popularity/helper.php
dokuwiki,lib/plugins/revert/admin.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/revert/admin.php
dokuwiki,lib/plugins/styling/admin.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/styling/admin.php
dokuwiki,lib/plugins/styling/popup.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/styling/popup.php
dokuwiki,lib/plugins/usermanager/admin.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/plugins/usermanager/admin.php
dokuwiki,lib/tpl/dokuwiki/detail.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/tpl/dokuwiki/detail.php
dokuwiki,lib/tpl/dokuwiki/main.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/tpl/dokuwiki/main.php
dokuwiki,lib/tpl/dokuwiki/mediamanager.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/tpl/dokuwiki/mediamanager.php
dokuwiki,lib/tpl/dokuwiki/tpl_footer.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/tpl/dokuwiki/tpl_footer.php
dokuwiki,lib/tpl/dokuwiki/tpl_header.php,5.6.40,PASS,No syntax errors detected in /var/www/html/lib/tpl/dokuwiki/tpl_header.php
