project,file,php_version,image,status,message
kanboard,app/Controller/BoardAjaxController.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Controller/BoardAjaxController.php
kanboard,app/Controller/TaskBulkChangePropertyController.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Controller/TaskBulkChangePropertyController.php
kanboard,app/Controller/TaskModificationController.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Controller/TaskModificationController.php
kanboard,app/Controller/UserModificationController.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Controller/UserModificationController.php
kanboard,app/Core/Http/Client.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Core/Http/Client.php
kanboard,app/Core/Http/Request.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Core/Http/Request.php
kanboard,app/Core/Paginator.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Core/Paginator.php
kanboard,app/Core/Plugin/Installer.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Core/Plugin/Installer.php
kanboard,app/EventBuilder/TaskEventBuilder.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/EventBuilder/TaskEventBuilder.php
kanboard,app/Helper/FileHelper.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Helper/FileHelper.php
kanboard,app/Helper/FormHelper.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Helper/FormHelper.php
kanboard,app/Helper/ProjectRoleHelper.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Helper/ProjectRoleHelper.php
kanboard,app/Helper/SubtaskHelper.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Helper/SubtaskHelper.php
kanboard,app/Helper/TaskHelper.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Helper/TaskHelper.php
kanboard,app/Helper/UrlHelper.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Helper/UrlHelper.php
kanboard,app/Import/TaskImport.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Import/TaskImport.php
kanboard,app/Locale/bs_BA/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/bs_BA/translations.php
kanboard,app/Locale/ca_ES/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/ca_ES/translations.php
kanboard,app/Locale/cs_CZ/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/cs_CZ/translations.php
kanboard,app/Locale/da_DK/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/da_DK/translations.php
kanboard,app/Locale/de_DE/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/de_DE/translations.php
kanboard,app/Locale/el_GR/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/el_GR/translations.php
kanboard,app/Locale/es_ES/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/es_ES/translations.php
kanboard,app/Locale/es_VE/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/es_VE/translations.php
kanboard,app/Locale/fa_IR/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/fa_IR/translations.php
kanboard,app/Locale/fi_FI/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/fi_FI/translations.php
kanboard,app/Locale/fr_FR/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/fr_FR/translations.php
kanboard,app/Locale/hr_HR/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/hr_HR/translations.php
kanboard,app/Locale/hu_HU/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/hu_HU/translations.php
kanboard,app/Locale/id_ID/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/id_ID/translations.php
kanboard,app/Locale/it_IT/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/it_IT/translations.php
kanboard,app/Locale/ja_JP/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/ja_JP/translations.php
kanboard,app/Locale/ko_KR/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/ko_KR/translations.php
kanboard,app/Locale/my_MY/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/my_MY/translations.php
kanboard,app/Locale/nb_NO/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/nb_NO/translations.php
kanboard,app/Locale/nl_NL/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/nl_NL/translations.php
kanboard,app/Locale/pl_PL/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/pl_PL/translations.php
kanboard,app/Locale/pt_BR/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/pt_BR/translations.php
kanboard,app/Locale/pt_PT/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/pt_PT/translations.php
kanboard,app/Locale/ro_RO/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/ro_RO/translations.php
kanboard,app/Locale/ru_RU/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/ru_RU/translations.php
kanboard,app/Locale/sk_SK/translations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/app/Locale/sk_SK/translations.php
