project,file,php_version,image,status,message
phpmyadmin,changelog.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/changelog.php
phpmyadmin,db_central_columns.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/db_central_columns.php
phpmyadmin,db_datadict.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/db_datadict.php
phpmyadmin,db_designer.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/db_designer.php
phpmyadmin,db_export.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/db_export.php
phpmyadmin,db_operations.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/db_operations.php
phpmyadmin,db_qbe.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/db_qbe.php
phpmyadmin,db_search.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/db_search.php
phpmyadmin,db_tracking.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/db_tracking.php
phpmyadmin,error_report.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/error_report.php
phpmyadmin,examples/openid.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/examples/openid.php
phpmyadmin,examples/signon.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/examples/signon.php
phpmyadmin,export.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/export.php
phpmyadmin,gis_data_editor.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/gis_data_editor.php
phpmyadmin,import.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/import.php
phpmyadmin,import_status.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/import_status.php
phpmyadmin,index.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/index.php
phpmyadmin,js/messages.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/js/messages.php
phpmyadmin,libraries/classes/Advisor.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Advisor.php
phpmyadmin,libraries/classes/Bookmark.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Bookmark.php
phpmyadmin,libraries/classes/BrowseForeigners.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/BrowseForeigners.php
phpmyadmin,libraries/classes/CentralColumns.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/CentralColumns.php
phpmyadmin,libraries/classes/Charsets.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Charsets.php
phpmyadmin,libraries/classes/CheckUserPrivileges.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/CheckUserPrivileges.php
phpmyadmin,libraries/classes/Config.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Config.php
phpmyadmin,libraries/classes/Config/ConfigFile.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Config/ConfigFile.php
phpmyadmin,libraries/classes/Config/Descriptions.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Config/Descriptions.php
phpmyadmin,libraries/classes/Config/Form.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Config/Form.php
phpmyadmin,libraries/classes/Config/FormDisplay.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Config/FormDisplay.php
phpmyadmin,libraries/classes/Config/FormDisplayTemplate.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Config/FormDisplayTemplate.php
phpmyadmin,libraries/classes/Config/Forms/BaseFormList.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Config/Forms/BaseFormList.php
phpmyadmin,libraries/classes/Config/Forms/User/ExportForm.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Config/Forms/User/ExportForm.php
phpmyadmin,libraries/classes/Config/PageSettings.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Config/PageSettings.php
phpmyadmin,libraries/classes/Config/ServerConfigChecks.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Config/ServerConfigChecks.php
phpmyadmin,libraries/classes/Config/Validator.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Config/Validator.php
phpmyadmin,libraries/classes/Controllers/Database/DatabaseStructureController.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Controllers/Database/DatabaseStructureController.php
phpmyadmin,libraries/classes/Controllers/Server/ServerBinlogController.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Controllers/Server/ServerBinlogController.php
phpmyadmin,libraries/classes/Controllers/Server/ServerDatabasesController.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Controllers/Server/ServerDatabasesController.php
phpmyadmin,libraries/classes/Controllers/Server/ServerPluginsController.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Controllers/Server/ServerPluginsController.php
phpmyadmin,libraries/classes/Controllers/Server/ServerVariablesController.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/classes/Controllers/Server/ServerVariablesController.php
