project,file,php_version,image,status,message
phppgadmin,admin.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/admin.php
phppgadmin,aggregates.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/aggregates.php
phppgadmin,ajax-ac-insert.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/ajax-ac-insert.php
phppgadmin,all_db.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/all_db.php
phppgadmin,browser.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/browser.php
phppgadmin,classes/Misc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/classes/Misc.php
phppgadmin,classes/database/ADODB_base.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/classes/database/ADODB_base.php
phppgadmin,classes/database/Connection.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/classes/database/Connection.php
phppgadmin,classes/database/Postgres.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/classes/database/Postgres.php
phppgadmin,classes/database/Postgres10.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/classes/database/Postgres10.php
phppgadmin,classes/database/Postgres74.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/classes/database/Postgres74.php
phppgadmin,classes/database/Postgres80.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/classes/database/Postgres80.php
phppgadmin,classes/database/Postgres81.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/classes/database/Postgres81.php
phppgadmin,classes/database/Postgres82.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/classes/database/Postgres82.php
phppgadmin,classes/database/Postgres83.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/classes/database/Postgres83.php
phppgadmin,classes/database/Postgres84.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/classes/database/Postgres84.php
phppgadmin,colproperties.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/colproperties.php
phppgadmin,constraints.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/constraints.php
phppgadmin,database.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/database.php
phppgadmin,dataexport.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/dataexport.php
phppgadmin,dataimport.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/dataimport.php
phppgadmin,dbexport.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/dbexport.php
phppgadmin,display.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/display.php
phppgadmin,domains.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/domains.php
phppgadmin,fulltext.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/fulltext.php
phppgadmin,functions.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/functions.php
phppgadmin,groups.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/groups.php
phppgadmin,help.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/help.php
phppgadmin,history.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/history.php
phppgadmin,index.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/index.php
phppgadmin,indexes.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/indexes.php
phppgadmin,info.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/info.php
phppgadmin,intro.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/intro.php
phppgadmin,lang/english.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/lang/english.php
phppgadmin,libraries/adodb/adodb-csvlib.inc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/adodb/adodb-csvlib.inc.php
phppgadmin,libraries/adodb/adodb-datadict.inc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/adodb/adodb-datadict.inc.php
phppgadmin,libraries/adodb/adodb-error.inc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/adodb/adodb-error.inc.php
phppgadmin,libraries/adodb/adodb-lib.inc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/adodb/adodb-lib.inc.php
phppgadmin,libraries/adodb/adodb-time.inc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/adodb/adodb-time.inc.php
phppgadmin,libraries/adodb/adodb.inc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/adodb/adodb.inc.php
phppgadmin,libraries/adodb/drivers/adodb-postgres64.inc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/adodb/drivers/adodb-postgres64.inc.php
phppgadmin,libraries/adodb/drivers/adodb-postgres7.inc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/adodb/drivers/adodb-postgres7.inc.php
phppgadmin,libraries/adodb/toexport.inc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/adodb/toexport.inc.php
phppgadmin,libraries/adodb/tohtml.inc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/adodb/tohtml.inc.php
phppgadmin,libraries/errorhandler.inc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/errorhandler.inc.php
phppgadmin,libraries/highlight.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/highlight.php
phppgadmin,libraries/lib.inc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/libraries/lib.inc.php
phppgadmin,login.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/login.php
phppgadmin,operators.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/operators.php
phppgadmin,plugins/Report/plugin.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/Report/plugin.php
phppgadmin,privileges.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/privileges.php
phppgadmin,roles.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/roles.php
phppgadmin,rules.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/rules.php
phppgadmin,schemas.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/schemas.php
phppgadmin,sequences.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/sequences.php
phppgadmin,servers.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/servers.php
phppgadmin,sql.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/sql.php
phppgadmin,sqledit.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/sqledit.php
phppgadmin,tables.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tables.php
phppgadmin,tablespaces.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tablespaces.php
phppgadmin,tblproperties.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tblproperties.php
phppgadmin,tests/selenium/TestSuite.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tests/selenium/TestSuite.php
phppgadmin,tests/selenium/src/01-roles.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tests/selenium/src/01-roles.php
phppgadmin,tests/selenium/src/04-database.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tests/selenium/src/04-database.php
phppgadmin,tests/selenium/src/08-domaine.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tests/selenium/src/08-domaine.php
phppgadmin,tests/selenium/src/10-table.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tests/selenium/src/10-table.php
phppgadmin,tests/selenium/src/12-admin.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tests/selenium/src/12-admin.php
phppgadmin,tests/selenium/src/30-view.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tests/selenium/src/30-view.php
phppgadmin,tests/selenium/testBuilder.class.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tests/selenium/testBuilder.class.php
phppgadmin,tests/simpletests/testcase/Databases/FindObjectsTest.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tests/simpletests/testcase/Databases/FindObjectsTest.php
phppgadmin,tests/simpletests/testcase/Databases/SqlTest.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tests/simpletests/testcase/Databases/SqlTest.php
phppgadmin,tests/simpletests/testcase/Schemas/TableTest.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tests/simpletests/testcase/Schemas/TableTest.php
phppgadmin,tests/simpletests/testcase/Schemas/ViewTest.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tests/simpletests/testcase/Schemas/ViewTest.php
phppgadmin,tests/simpletests/testcase/Tables/DeadlockTest.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/tests/simpletests/testcase/Tables/DeadlockTest.php
phppgadmin,triggers.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/triggers.php
phppgadmin,types.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/types.php
phppgadmin,users.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/users.php
phppgadmin,viewproperties.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/viewproperties.php
phppgadmin,views.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/views.php
