project,file,php_version,image,status,message
roundcubemail,config/defaults.inc.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/config/defaults.inc.php
roundcubemail,index.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/index.php
roundcubemail,installer/check.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/installer/check.php
roundcubemail,installer/config.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/installer/config.php
roundcubemail,installer/index.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/installer/index.php
roundcubemail,installer/test.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/installer/test.php
roundcubemail,plugins/acl/acl.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/acl/acl.php
roundcubemail,plugins/archive/archive.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/archive/archive.php
roundcubemail,plugins/autologon/autologon.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/autologon/autologon.php
roundcubemail,plugins/database_attachments/database_attachments.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/database_attachments/database_attachments.php
roundcubemail,plugins/debug_logger/debug_logger.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/debug_logger/debug_logger.php
roundcubemail,plugins/emoticons/emoticons_engine.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/emoticons/emoticons_engine.php
roundcubemail,plugins/enigma/enigma.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/enigma/enigma.php
roundcubemail,plugins/enigma/lib/enigma_driver_gnupg.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/enigma/lib/enigma_driver_gnupg.php
roundcubemail,plugins/enigma/lib/enigma_driver_phpssl.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/enigma/lib/enigma_driver_phpssl.php
roundcubemail,plugins/enigma/lib/enigma_engine.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/enigma/lib/enigma_engine.php
roundcubemail,plugins/enigma/lib/enigma_mime_message.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/enigma/lib/enigma_mime_message.php
roundcubemail,plugins/enigma/lib/enigma_signature.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/enigma/lib/enigma_signature.php
roundcubemail,plugins/enigma/lib/enigma_subkey.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/enigma/lib/enigma_subkey.php
roundcubemail,plugins/enigma/lib/enigma_ui.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/enigma/lib/enigma_ui.php
roundcubemail,plugins/filesystem_attachments/filesystem_attachments.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/filesystem_attachments/filesystem_attachments.php
roundcubemail,plugins/help/help.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/help/help.php
roundcubemail,plugins/http_authentication/http_authentication.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/http_authentication/http_authentication.php
roundcubemail,plugins/identicon/identicon.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/identicon/identicon.php
roundcubemail,plugins/jqueryui/jqueryui.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/jqueryui/jqueryui.php
roundcubemail,plugins/krb_authentication/krb_authentication.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/krb_authentication/krb_authentication.php
roundcubemail,plugins/managesieve/lib/Roundcube/rcube_sieve.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/managesieve/lib/Roundcube/rcube_sieve.php
roundcubemail,plugins/managesieve/lib/Roundcube/rcube_sieve_engine.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/managesieve/lib/Roundcube/rcube_sieve_engine.php
roundcubemail,plugins/managesieve/lib/Roundcube/rcube_sieve_forward.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/managesieve/lib/Roundcube/rcube_sieve_forward.php
roundcubemail,plugins/managesieve/lib/Roundcube/rcube_sieve_script.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/managesieve/lib/Roundcube/rcube_sieve_script.php
roundcubemail,plugins/managesieve/lib/Roundcube/rcube_sieve_vacation.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/managesieve/lib/Roundcube/rcube_sieve_vacation.php
roundcubemail,plugins/managesieve/managesieve.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/managesieve/managesieve.php
roundcubemail,plugins/markasjunk/drivers/amavis_blacklist.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/markasjunk/drivers/amavis_blacklist.php
roundcubemail,plugins/markasjunk/drivers/cmd_learn.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/markasjunk/drivers/cmd_learn.php
roundcubemail,plugins/markasjunk/drivers/email_learn.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/markasjunk/drivers/email_learn.php
roundcubemail,plugins/markasjunk/drivers/sa_blacklist.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/markasjunk/drivers/sa_blacklist.php
roundcubemail,plugins/markasjunk/markasjunk.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/markasjunk/markasjunk.php
roundcubemail,plugins/new_user_identity/new_user_identity.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/new_user_identity/new_user_identity.php
roundcubemail,plugins/newmail_notifier/newmail_notifier.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/newmail_notifier/newmail_notifier.php
roundcubemail,plugins/password/drivers/cpanel.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/password/drivers/cpanel.php
roundcubemail,plugins/password/drivers/directadmin.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/password/drivers/directadmin.php
roundcubemail,plugins/password/drivers/domainfactory.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/password/drivers/domainfactory.php
roundcubemail,plugins/password/drivers/ldap.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/password/drivers/ldap.php
roundcubemail,plugins/password/drivers/ldap_simple.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/password/drivers/ldap_simple.php
roundcubemail,plugins/password/drivers/modoboa.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/password/drivers/modoboa.php
roundcubemail,plugins/password/drivers/sql.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/password/drivers/sql.php
roundcubemail,plugins/password/drivers/ximss.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/password/drivers/ximss.php
roundcubemail,plugins/password/drivers/xmail.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/password/drivers/xmail.php
roundcubemail,plugins/password/password.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/password/password.php
roundcubemail,plugins/redundant_attachments/redundant_attachments.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/redundant_attachments/redundant_attachments.php
roundcubemail,plugins/squirrelmail_usercopy/squirrelmail_usercopy.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/squirrelmail_usercopy/squirrelmail_usercopy.php
roundcubemail,plugins/subscriptions_option/subscriptions_option.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/subscriptions_option/subscriptions_option.php
roundcubemail,plugins/vcard_attachments/vcard_attachments.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/vcard_attachments/vcard_attachments.php
roundcubemail,plugins/zipdownload/zipdownload.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/plugins/zipdownload/zipdownload.php
roundcubemail,program/include/rcmail.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/include/rcmail.php
roundcubemail,program/include/rcmail_install.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/include/rcmail_install.php
roundcubemail,program/include/rcmail_output_html.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/include/rcmail_output_html.php
roundcubemail,program/include/rcmail_output_json.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/include/rcmail_output_json.php
roundcubemail,program/include/rcmail_sendmail.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/include/rcmail_sendmail.php
roundcubemail,program/include/rcmail_utils.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/include/rcmail_utils.php
roundcubemail,program/lib/Roundcube/db/mssql.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/db/mssql.php
roundcubemail,program/lib/Roundcube/db/mysql.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/db/mysql.php
roundcubemail,program/lib/Roundcube/db/oracle.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/db/oracle.php
roundcubemail,program/lib/Roundcube/db/pgsql.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/db/pgsql.php
roundcubemail,program/lib/Roundcube/db/sqlite.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/db/sqlite.php
roundcubemail,program/lib/Roundcube/html.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/html.php
roundcubemail,program/lib/Roundcube/rcube.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube.php
roundcubemail,program/lib/Roundcube/rcube_addressbook.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_addressbook.php
roundcubemail,program/lib/Roundcube/rcube_base_replacer.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_base_replacer.php
roundcubemail,program/lib/Roundcube/rcube_charset.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_charset.php
roundcubemail,program/lib/Roundcube/rcube_config.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_config.php
roundcubemail,program/lib/Roundcube/rcube_contacts.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_contacts.php
roundcubemail,program/lib/Roundcube/rcube_csv2vcard.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_csv2vcard.php
roundcubemail,program/lib/Roundcube/rcube_db.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_db.php
roundcubemail,program/lib/Roundcube/rcube_enriched.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_enriched.php
roundcubemail,program/lib/Roundcube/rcube_html2text.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_html2text.php
roundcubemail,program/lib/Roundcube/rcube_image.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_image.php
roundcubemail,program/lib/Roundcube/rcube_imap.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_imap.php
roundcubemail,program/lib/Roundcube/rcube_imap_cache.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_imap_cache.php
roundcubemail,program/lib/Roundcube/rcube_imap_generic.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_imap_generic.php
roundcubemail,program/lib/Roundcube/rcube_imap_search.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_imap_search.php
roundcubemail,program/lib/Roundcube/rcube_ldap.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_ldap.php
roundcubemail,program/lib/Roundcube/rcube_ldap_generic.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_ldap_generic.php
roundcubemail,program/lib/Roundcube/rcube_message.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_message.php
roundcubemail,program/lib/Roundcube/rcube_mime.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_mime.php
roundcubemail,program/lib/Roundcube/rcube_mime_decode.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_mime_decode.php
roundcubemail,program/lib/Roundcube/rcube_output.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_output.php
roundcubemail,program/lib/Roundcube/rcube_plugin.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_plugin.php
roundcubemail,program/lib/Roundcube/rcube_plugin_api.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_plugin_api.php
roundcubemail,program/lib/Roundcube/rcube_result_index.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_result_index.php
roundcubemail,program/lib/Roundcube/rcube_result_thread.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_result_thread.php
roundcubemail,program/lib/Roundcube/rcube_session.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_session.php
roundcubemail,program/lib/Roundcube/rcube_smtp.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_smtp.php
roundcubemail,program/lib/Roundcube/rcube_spellchecker.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_spellchecker.php
roundcubemail,program/lib/Roundcube/rcube_string_replacer.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_string_replacer.php
roundcubemail,program/lib/Roundcube/rcube_text2html.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_text2html.php
roundcubemail,program/lib/Roundcube/rcube_tnef_decoder.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_tnef_decoder.php
roundcubemail,program/lib/Roundcube/rcube_user.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_user.php
roundcubemail,program/lib/Roundcube/rcube_utils.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_utils.php
roundcubemail,program/lib/Roundcube/rcube_vcard.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_vcard.php
roundcubemail,program/lib/Roundcube/rcube_washtml.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/rcube_washtml.php
roundcubemail,program/lib/Roundcube/session/db.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/session/db.php
roundcubemail,program/lib/Roundcube/spellchecker/atd.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/spellchecker/atd.php
roundcubemail,program/lib/Roundcube/spellchecker/googie.php,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/lib/Roundcube/spellchecker/googie.php
roundcubemail,program/localization/en_CA/messages.inc,5.6.40,php:5.6-cli,PASS,No syntax errors detected in /app/program/localization/en_CA/messages.inc
