candidate_id,project,file,candidate_type,oracle_status,oracle_ids,coverage_reason
dokuwiki-C0001,dokuwiki,doku.php,long_method_or_region,stable,dokuwiki_home_http,Candidate file is covered by a passing route-level characterization.
dokuwiki-C0002,dokuwiki,feed.php,mixed_php_html,stable,dokuwiki_feed_http,Candidate file is covered by a passing route-level characterization.
dokuwiki-C0003,dokuwiki,feed.php,long_method_or_region,stable,dokuwiki_feed_http,Candidate file is covered by a passing route-level characterization.
dokuwiki-C0004,dokuwiki,install.php,form_handling,stable,dokuwiki_install_http,Candidate file is covered by a passing route-level characterization.
dokuwiki-C0005,dokuwiki,install.php,form_handling,stable,dokuwiki_install_http,Candidate file is covered by a passing route-level characterization.
dokuwiki-C0006,dokuwiki,install.php,mixed_php_html,stable,dokuwiki_install_http,Candidate file is covered by a passing route-level characterization.
dokuwiki-C0007,dokuwiki,install.php,mixed_php_html,stable,dokuwiki_install_http,Candidate file is covered by a passing route-level characterization.
dokuwiki-C0008,dokuwiki,install.php,long_method_or_region,stable,dokuwiki_install_http,Candidate file is covered by a passing route-level characterization.
dokuwiki-C0009,dokuwiki,install.php,long_method_or_region,stable,dokuwiki_install_http,Candidate file is covered by a passing route-level characterization.
dokuwiki-C0010,dokuwiki,install.php,session_dependent_logic,stable,dokuwiki_install_http,Candidate file is covered by a passing route-level characterization.
dokuwiki-C0011,dokuwiki,bin/dwpage.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0012,dokuwiki,inc/Ajax.php,mixed_php_html,needs_review,,Rendered-output candidate requires manual route mapping.
dokuwiki-C0013,dokuwiki,inc/Ajax.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0014,dokuwiki,inc/Ajax.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0015,dokuwiki,inc/auth.php,session_dependent_logic,pending,,No passing route-level oracle mapped.
dokuwiki-C0016,dokuwiki,inc/auth.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0017,dokuwiki,inc/auth.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0018,dokuwiki,inc/auth.php,session_dependent_logic,pending,,No passing route-level oracle mapped.
dokuwiki-C0019,dokuwiki,inc/auth.php,session_dependent_logic,pending,,No passing route-level oracle mapped.
dokuwiki-C0020,dokuwiki,inc/auth.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0021,dokuwiki,inc/auth.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0022,dokuwiki,inc/auth.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0023,dokuwiki,inc/auth.php,session_dependent_logic,pending,,No passing route-level oracle mapped.
dokuwiki-C0024,dokuwiki,inc/auth.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0025,dokuwiki,inc/cache.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0026,dokuwiki,inc/cache.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0027,dokuwiki,inc/cache.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0028,dokuwiki,inc/changelog.php,sql_data_access,pending,,No passing route-level oracle mapped.
dokuwiki-C0029,dokuwiki,inc/changelog.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0030,dokuwiki,inc/changelog.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0031,dokuwiki,inc/changelog.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0032,dokuwiki,inc/changelog.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0033,dokuwiki,inc/changelog.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0034,dokuwiki,inc/changelog.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0035,dokuwiki,inc/changelog.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0036,dokuwiki,inc/changelog.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0037,dokuwiki,inc/changelog.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0038,dokuwiki,inc/cli.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0039,dokuwiki,inc/cli.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0040,dokuwiki,inc/common.php,mixed_php_html_sql,needs_review,,Rendered-output candidate requires manual route mapping.
dokuwiki-C0041,dokuwiki,inc/common.php,long_method_or_region,pending,,No passing route-level oracle mapped.
dokuwiki-C0042,dokuwiki,inc/common.php,session_dependent_logic,pending,,No passing route-level oracle mapped.
dokuwiki-C0043,dokuwiki,inc/common.php,long_method_or_region,pending,,No passing route-level oracle mapped.
