candidate_id,project,file,candidate_type,oracle_id,oracle_status,coverage_reason
dokuwiki-C0001,dokuwiki,doku.php,long_method_or_region,dokuwiki_home_http,stable,Characterization route exercises this entrypoint/template/rendering path.
dokuwiki-C0002,dokuwiki,feed.php,mixed_php_html,dokuwiki_home_http_partial,needs_review,Candidate has rendered-output contract; manual route mapping required.
dokuwiki-C0003,dokuwiki,feed.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0004,dokuwiki,install.php,form_handling,dokuwiki_home_http_partial,needs_review,Candidate has rendered-output contract; manual route mapping required.
dokuwiki-C0005,dokuwiki,install.php,form_handling,dokuwiki_home_http_partial,needs_review,Candidate has rendered-output contract; manual route mapping required.
dokuwiki-C0006,dokuwiki,install.php,mixed_php_html,dokuwiki_home_http_partial,needs_review,Candidate has rendered-output contract; manual route mapping required.
dokuwiki-C0007,dokuwiki,install.php,mixed_php_html,,pending,No route-level oracle mapped yet.
dokuwiki-C0008,dokuwiki,install.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0009,dokuwiki,install.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0010,dokuwiki,install.php,session_dependent_logic,,pending,No route-level oracle mapped yet.
dokuwiki-C0011,dokuwiki,bin/dwpage.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0012,dokuwiki,inc/Ajax.php,mixed_php_html,dokuwiki_home_http_partial,needs_review,Candidate has rendered-output contract; manual route mapping required.
dokuwiki-C0013,dokuwiki,inc/Ajax.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0014,dokuwiki,inc/Ajax.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0015,dokuwiki,inc/auth.php,session_dependent_logic,,pending,No route-level oracle mapped yet.
dokuwiki-C0016,dokuwiki,inc/auth.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0017,dokuwiki,inc/auth.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0018,dokuwiki,inc/auth.php,session_dependent_logic,,pending,No route-level oracle mapped yet.
dokuwiki-C0019,dokuwiki,inc/auth.php,session_dependent_logic,,pending,No route-level oracle mapped yet.
dokuwiki-C0020,dokuwiki,inc/auth.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0021,dokuwiki,inc/auth.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0022,dokuwiki,inc/auth.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0023,dokuwiki,inc/auth.php,session_dependent_logic,,pending,No route-level oracle mapped yet.
dokuwiki-C0024,dokuwiki,inc/auth.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0025,dokuwiki,inc/cache.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0026,dokuwiki,inc/cache.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0027,dokuwiki,inc/cache.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0028,dokuwiki,inc/changelog.php,sql_data_access,,pending,No route-level oracle mapped yet.
dokuwiki-C0029,dokuwiki,inc/changelog.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0030,dokuwiki,inc/changelog.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0031,dokuwiki,inc/changelog.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0032,dokuwiki,inc/changelog.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0033,dokuwiki,inc/changelog.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0034,dokuwiki,inc/changelog.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0035,dokuwiki,inc/changelog.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0036,dokuwiki,inc/changelog.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0037,dokuwiki,inc/changelog.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0038,dokuwiki,inc/cli.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0039,dokuwiki,inc/cli.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0040,dokuwiki,inc/common.php,mixed_php_html_sql,dokuwiki_home_http_partial,needs_review,Candidate has rendered-output contract; manual route mapping required.
dokuwiki-C0041,dokuwiki,inc/common.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0042,dokuwiki,inc/common.php,session_dependent_logic,,pending,No route-level oracle mapped yet.
dokuwiki-C0043,dokuwiki,inc/common.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0044,dokuwiki,inc/common.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0045,dokuwiki,inc/common.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0046,dokuwiki,inc/common.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0047,dokuwiki,inc/common.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0048,dokuwiki,inc/common.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0049,dokuwiki,inc/common.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0050,dokuwiki,inc/common.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0051,dokuwiki,inc/common.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0052,dokuwiki,inc/common.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0053,dokuwiki,inc/common.php,session_dependent_logic,,pending,No route-level oracle mapped yet.
dokuwiki-C0054,dokuwiki,inc/common.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0055,dokuwiki,inc/common.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0056,dokuwiki,inc/confutils.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0057,dokuwiki,inc/DifferenceEngine.php,mixed_php_html,,pending,No route-level oracle mapped yet.
dokuwiki-C0058,dokuwiki,inc/DifferenceEngine.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0059,dokuwiki,inc/DifferenceEngine.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0060,dokuwiki,inc/DifferenceEngine.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0061,dokuwiki,inc/DifferenceEngine.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0062,dokuwiki,inc/DifferenceEngine.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0063,dokuwiki,inc/farm.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0064,dokuwiki,inc/farm.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0065,dokuwiki,inc/fetch.functions.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0066,dokuwiki,inc/fetch.functions.php,long_method_or_region,,pending,No route-level oracle mapped yet.
dokuwiki-C0067,dokuwiki,inc/form.php,form_handling,dokuwiki_home_http_partial,needs_review,Candidate has rendered-output contract; manual route mapping required.
