project,file,php_version,status,message
dokuwiki,bin/dwpage.php,8.4.14,PASS,No syntax errors detected in subjects\dokuwiki\bin\dwpage.php
dokuwiki,doku.php,8.4.14,PASS,No syntax errors detected in subjects\dokuwiki\doku.php
dokuwiki,feed.php,8.4.14,PASS,No syntax errors detected in subjects\dokuwiki\feed.php
dokuwiki,inc/Action/Edit.php,8.4.14,PASS,No syntax errors detected in subjects\dokuwiki\inc\Action\Edit.php
dokuwiki,inc/Action/Resendpwd.php,8.4.14,FAIL,"PHP Parse error:  syntax error, unexpected token ""{"" in subjects\dokuwiki\inc\Action\Resendpwd.php on line 76

Parse error: syntax error, unexpected token ""{"" in subjects\dokuwiki\inc\Action\Resendpwd.php on line 76
Errors parsing subjects\dokuwiki\inc\Action\Resendpwd.php"
dokuwiki,inc/Action/Search.php,8.4.14,PASS,No syntax errors detected in subjects\dokuwiki\inc\Action\Search.php
dokuwiki,inc/Action/Subscribe.php,8.4.14,PASS,No syntax errors detected in subjects\dokuwiki\inc\Action\Subscribe.php
dokuwiki,inc/Ajax.php,8.4.14,PASS,No syntax errors detected in subjects\dokuwiki\inc\Ajax.php
dokuwiki,inc/DifferenceEngine.php,8.4.14,PASS,No syntax errors detected in subjects\dokuwiki\inc\DifferenceEngine.php
dokuwiki,inc/Form/Form.php,8.4.14,PASS,No syntax errors detected in subjects\dokuwiki\inc\Form\Form.php
dokuwiki,inc/Form/InputElement.php,8.4.14,PASS,No syntax errors detected in subjects\dokuwiki\inc\Form\InputElement.php
dokuwiki,inc/Form/LegacyForm.php,8.4.14,FAIL,"PHP Parse error:  syntax error, unexpected token ""{"" in subjects\dokuwiki\inc\Form\LegacyForm.php on line 119

Parse error: syntax error, unexpected token ""{"" in subjects\dokuwiki\inc\Form\LegacyForm.php on line 119
Errors parsing subjects\dokuwiki\inc\Form\LegacyForm.php"
dokuwiki,inc/HTTPClient.php,8.4.14,PASS,No syntax errors detected in subjects\dokuwiki\inc\HTTPClient.php
dokuwiki,inc/IXR_Library.php,8.4.14,PASS,No syntax errors detected in subjects\dokuwiki\inc\IXR_Library.php
dokuwiki,inc/Input.class.php,8.4.14,PASS,No syntax errors detected in subjects\dokuwiki\inc\Input.class.php
