candidate_id,project,file,start_line,end_line,candidate_type,dominant_issue,complexity_proxy,request_parameters,session_keys,database_tables,dom_selectors,forms,allowed_transformations,oracle_status
kanboard-C0001,kanboard,config.default.php,1,253,sql_data_access,SQL/Data Access Region,42,,,multiple;the,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0002,kanboard,app/check_setup.php,1,41,sql_data_access,SQL/Data Access Region,13,,,,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0003,kanboard,app/functions.php,1,258,session_dependent_logic,Session-Dependent Logic,19,,,,,,Extract Guard;Extract Method,pending
kanboard-C0004,kanboard,libs/SimpleValidator/Validators/Email.php,7,68,long_method_or_region,Long or Complex Region,13,,,,,,Extract Method,pending
kanboard-C0005,kanboard,libs/picodb/lib/PicoDb/Database.php,1,370,sql_data_access,SQL/Data Access Region,15,,,,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0006,kanboard,libs/picodb/lib/PicoDb/StatementHandler.php,1,353,sql_data_access,SQL/Data Access Region,12,,,,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0007,kanboard,libs/picodb/lib/PicoDb/Table.php,1,729,sql_data_access,SQL/Data Access Region,24,,,table,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0008,kanboard,libs/picodb/lib/PicoDb/Driver/Base.php,1,234,sql_data_access,SQL/Data Access Region,16,,,,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0009,kanboard,libs/picodb/lib/PicoDb/Driver/Base.php,164,202,sql_data_access,SQL/Data Access Region,9,,,,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0010,kanboard,libs/picodb/lib/PicoDb/Driver/Mysql.php,1,268,sql_data_access,SQL/Data Access Region,24,,,,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0011,kanboard,libs/picodb/lib/PicoDb/Driver/Mysql.php,82,125,sql_data_access,SQL/Data Access Region,11,,,,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0012,kanboard,libs/picodb/lib/PicoDb/Driver/Postgres.php,1,212,sql_data_access,SQL/Data Access Region,14,,,,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0013,kanboard,libs/picodb/lib/PicoDb/Driver/Postgres.php,40,79,sql_data_access,SQL/Data Access Region,7,,,,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0014,kanboard,libs/phpqrcode/lib/PHPQRCode/FrameFiller.php,43,96,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
kanboard-C0015,kanboard,libs/phpqrcode/lib/PHPQRCode/QRcode.php,19,94,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
kanboard-C0016,kanboard,libs/phpqrcode/lib/PHPQRCode/QRencode.php,47,82,long_method_or_region,Long or Complex Region,13,,,,,,Extract Method,pending
kanboard-C0017,kanboard,libs/phpqrcode/lib/PHPQRCode/QRinput.php,305,348,long_method_or_region,Long or Complex Region,11,,,,,,Extract Method,pending
kanboard-C0018,kanboard,libs/phpqrcode/lib/PHPQRCode/QRmask.php,215,282,long_method_or_region,Long or Complex Region,14,,,,,,Extract Method,pending
kanboard-C0019,kanboard,libs/phpqrcode/lib/PHPQRCode/QRrsItem.php,36,122,long_method_or_region,Long or Complex Region,16,,,,,,Extract Method,pending
kanboard-C0020,kanboard,libs/phpqrcode/lib/PHPQRCode/QRspec.php,1,586,mixed_php_html,Mixed PHP/HTML,46,,,,.c;.f;.m;.p;.s;.x,,Separate PHP Logic from Markup;Extract View Helper,pending
kanboard-C0021,kanboard,libs/phpqrcode/lib/PHPQRCode/QRspec.php,482,536,mixed_php_html,Mixed PHP/HTML,8,,,,.c;.f;.m;.p;.s;.x,,Separate PHP Logic from Markup;Extract View Helper,pending
kanboard-C0022,kanboard,libs/phpqrcode/lib/PHPQRCode/QRsplit.php,198,253,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
kanboard-C0023,kanboard,libs/phpqrcode/lib/PHPQRCode/QRtools.php,1,171,mixed_php_html,Mixed PHP/HTML,23,,,,,,Separate PHP Logic from Markup;Extract View Helper,pending
kanboard-C0024,kanboard,libs/minify/src/CSS.php,87,116,long_method_or_region,Long or Complex Region,15,,,,,,Extract Method,pending
kanboard-C0025,kanboard,libs/minify/src/CSS.php,116,249,long_method_or_region,Long or Complex Region,27,,,,,,Extract Method,pending
kanboard-C0026,kanboard,libs/minify/src/CSS.php,249,296,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
kanboard-C0027,kanboard,libs/minify/src/CSS.php,357,485,long_method_or_region,Long or Complex Region,28,,,,,,Extract Method,pending
kanboard-C0028,kanboard,libs/minify/src/CSS.php,485,543,long_method_or_region,Long or Complex Region,15,,,,,,Extract Method,pending
kanboard-C0029,kanboard,libs/minify/src/CSS.php,564,617,long_method_or_region,Long or Complex Region,17,,,,,,Extract Method,pending
kanboard-C0030,kanboard,libs/minify/src/JS.php,232,321,long_method_or_region,Long or Complex Region,22,,,,,,Extract Method,pending
kanboard-C0031,kanboard,libs/minify/src/JS.php,321,451,long_method_or_region,Long or Complex Region,29,,,,,,Extract Method,pending
kanboard-C0032,kanboard,libs/minify/src/JS.php,505,564,long_method_or_region,Long or Complex Region,11,,,,,,Extract Method,pending
kanboard-C0033,kanboard,libs/minify/src/JS.php,564,613,long_method_or_region,Long or Complex Region,24,,,,,,Extract Method,pending
kanboard-C0034,kanboard,libs/minify/src/Minify.php,231,320,long_method_or_region,Long or Complex Region,12,,,,,,Extract Method,pending
kanboard-C0035,kanboard,libs/jsonrpc/src/JsonRPC/Response/ResponseBuilder.php,293,337,long_method_or_region,Long or Complex Region,11,,,,,,Extract Method,pending
kanboard-C0036,kanboard,app/Controller/BoardAjaxController.php,1,149,mixed_php_html,Mixed PHP/HTML,12,,,,.alert;.alert-error,,Separate PHP Logic from Markup;Extract View Helper,pending
kanboard-C0037,kanboard,app/Controller/TaskBulkChangePropertyController.php,26,84,long_method_or_region,Long or Complex Region,13,,,,,,Extract Method,pending
kanboard-C0038,kanboard,app/Controller/TaskModificationController.php,1,180,sql_data_access,SQL/Data Access Region,20,,,a;tasks;your,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0039,kanboard,app/Controller/UserModificationController.php,44,76,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
kanboard-C0040,kanboard,app/Core/Paginator.php,1,543,mixed_php_html_sql,SQL in Presentation Logic,18,,,,.pagination;.pagination-next;.pagination-previous;.pagination-showing,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
kanboard-C0041,kanboard,app/EventBuilder/TaskEventBuilder.php,134,203,long_method_or_region,Long or Complex Region,14,,,,,,Extract Method,pending
kanboard-C0042,kanboard,app/EventBuilder/TaskEventBuilder.php,203,234,long_method_or_region,Long or Complex Region,16,,,,,,Extract Method,pending
kanboard-C0043,kanboard,app/Helper/FileHelper.php,22,69,long_method_or_region,Long or Complex Region,24,,,,,,Extract Method,pending
kanboard-C0044,kanboard,app/Helper/FormHelper.php,1,464,mixed_php_html,Mixed PHP/HTML,22,,,,#form-;.%s;.form-errors;.form-required;.js-text-editor,,Separate PHP Logic from Markup;Extract View Helper,pending
kanboard-C0045,kanboard,app/Helper/ProjectRoleHelper.php,1,338,sql_data_access,SQL/Data Access Region,51,,,a;other,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0046,kanboard,app/Helper/SubtaskHelper.php,1,165,mixed_php_html,Mixed PHP/HTML,12,,,,#form-user_id;.assign-me;.fa;.fa-check-square-o;.fa-fw;.fa-gears;.fa-square-o;.form-help;.subtask-timer-toggle;.subtask-title,,Separate PHP Logic from Markup;Extract View Helper,pending
kanboard-C0047,kanboard,app/Helper/TaskHelper.php,1,323,mixed_php_html,Mixed PHP/HTML,17,,,,#form-owner_id;#form-tags;.assign-me;.board-add-icon;.dropdown;.dropdown-menu;.dropdown-menu-link-icon;.dropdown-smaller;.fa;.fa-caret-down;.fa-floppy-o;.fa-fw;.fa-plus;.js-template;.tag-autocomplete;.task-priority,,Separate PHP Logic from Markup;Extract View Helper,pending
kanboard-C0048,kanboard,app/Helper/UrlHelper.php,1,238,mixed_php_html,Mixed PHP/HTML,19,,,,.btn;.fa;.fa-;.fa-fw,,Separate PHP Logic from Markup;Extract View Helper,pending
kanboard-C0049,kanboard,app/Import/TaskImport.php,84,137,long_method_or_region,Long or Complex Region,10,,,,,,Extract Method,pending
kanboard-C0050,kanboard,app/Model/ActionParameterModel.php,144,174,long_method_or_region,Long or Complex Region,19,,,,,,Extract Method,pending
kanboard-C0051,kanboard,app/Model/CategoryModel.php,1,226,sql_data_access,SQL/Data Access Region,13,,,a,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0052,kanboard,app/Model/LinkModel.php,116,155,sql_data_access,SQL/Data Access Region,3,,,a,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0053,kanboard,app/Model/ProjectModel.php,1,569,sql_data_access,SQL/Data Access Region,38,,,a;modification;the,,,Light Data-Access Isolation;Extract Method,pending
kanboard-C0054,kanboard,app/Model/SubtaskModel.php,1,321,sql_data_access,SQL/Data Access Region,19,,,a;subtaskId,,,Light Data-Access Isolation;Extract Method,pending
