project,file,php_version,image,status,message
kanboard,app/Controller/BoardAjaxController.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Controller/BoardAjaxController.php
kanboard,app/Controller/TaskBulkChangePropertyController.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Controller/TaskBulkChangePropertyController.php
kanboard,app/Controller/TaskModificationController.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Controller/TaskModificationController.php
kanboard,app/Controller/UserModificationController.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Controller/UserModificationController.php
kanboard,app/Core/Http/Client.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Core/Http/Client.php
kanboard,app/Core/Http/Request.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Core/Http/Request.php
kanboard,app/Core/Paginator.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Core/Paginator.php
kanboard,app/Core/Plugin/Installer.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Core/Plugin/Installer.php
kanboard,app/EventBuilder/TaskEventBuilder.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/EventBuilder/TaskEventBuilder.php
kanboard,app/Helper/FileHelper.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Helper/FileHelper.php
kanboard,app/Helper/FormHelper.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Helper/FormHelper.php
kanboard,app/Helper/ProjectRoleHelper.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Helper/ProjectRoleHelper.php
kanboard,app/Helper/SubtaskHelper.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Helper/SubtaskHelper.php
kanboard,app/Helper/TaskHelper.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Helper/TaskHelper.php
kanboard,app/Helper/UrlHelper.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Helper/UrlHelper.php
kanboard,app/Import/TaskImport.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Import/TaskImport.php
kanboard,app/Locale/bs_BA/translations.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Locale/bs_BA/translations.php
kanboard,app/Locale/ca_ES/translations.php,7.2.34,php:7.2-cli,PASS,No syntax errors detected in /app/app/Locale/ca_ES/translations.php
