candidate_id,project,file,candidate_type,syntax_status,oracle_status,baseline_gate_status,oracle_ids
dokuwiki-C0001,dokuwiki,doku.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0002,dokuwiki,feed.php,mixed_php_html,PASS,PASS,PASS,dokuwiki_feed_http
dokuwiki-C0003,dokuwiki,feed.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_feed_http
dokuwiki-C0004,dokuwiki,install.php,form_handling,PASS,PASS,PASS,dokuwiki_install_http
dokuwiki-C0005,dokuwiki,install.php,form_handling,PASS,PASS,PASS,dokuwiki_install_http
dokuwiki-C0006,dokuwiki,install.php,mixed_php_html,PASS,PASS,PASS,dokuwiki_install_http
dokuwiki-C0007,dokuwiki,install.php,mixed_php_html,PASS,PASS,PASS,dokuwiki_install_http
dokuwiki-C0008,dokuwiki,install.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_install_http
dokuwiki-C0009,dokuwiki,install.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_install_http
dokuwiki-C0010,dokuwiki,install.php,session_dependent_logic,PASS,PASS,PASS,dokuwiki_install_http
dokuwiki-C0074,dokuwiki,inc/html.php,mixed_php_html,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0075,dokuwiki,inc/html.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0076,dokuwiki,inc/html.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0077,dokuwiki,inc/html.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0078,dokuwiki,inc/html.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0079,dokuwiki,inc/html.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0080,dokuwiki,inc/html.php,mixed_php_html,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0081,dokuwiki,inc/html.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0082,dokuwiki,inc/html.php,long_method_or_region,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0083,dokuwiki,inc/html.php,mixed_php_html,PASS,PASS,PASS,dokuwiki_home_http
dokuwiki-C0084,dokuwiki,inc/html.php,session_dependent_logic,PASS,PASS,PASS,dokuwiki_home_http
