candidate_id,project,file,candidate_type,start_line,end_line,oracle_ids,eligibility_status
dokuwiki-C0001,dokuwiki,doku.php,long_method_or_region,1,125,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0002,dokuwiki,feed.php,mixed_php_html,1,510,dokuwiki_feed_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0003,dokuwiki,feed.php,long_method_or_region,189,461,dokuwiki_feed_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0004,dokuwiki,install.php,form_handling,1,612,dokuwiki_install_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0005,dokuwiki,install.php,form_handling,60,146,dokuwiki_install_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0006,dokuwiki,install.php,mixed_php_html,146,233,dokuwiki_install_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0007,dokuwiki,install.php,mixed_php_html,233,254,dokuwiki_install_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0008,dokuwiki,install.php,long_method_or_region,254,326,dokuwiki_install_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0009,dokuwiki,install.php,long_method_or_region,326,434,dokuwiki_install_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0010,dokuwiki,install.php,session_dependent_logic,526,568,dokuwiki_install_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0074,dokuwiki,inc/html.php,mixed_php_html,1,2255,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0075,dokuwiki,inc/html.php,long_method_or_region,194,253,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0076,dokuwiki,inc/html.php,long_method_or_region,399,661,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0077,dokuwiki,inc/html.php,long_method_or_region,661,866,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0078,dokuwiki,inc/html.php,long_method_or_region,985,1050,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0079,dokuwiki,inc/html.php,long_method_or_region,1081,1167,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0080,dokuwiki,inc/html.php,mixed_php_html,1167,1382,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0081,dokuwiki,inc/html.php,long_method_or_region,1382,1517,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0082,dokuwiki,inc/html.php,long_method_or_region,1557,1584,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0083,dokuwiki,inc/html.php,mixed_php_html,1731,1853,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0084,dokuwiki,inc/html.php,session_dependent_logic,1893,1992,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0085,dokuwiki,inc/html.php,long_method_or_region,2137,2197,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0202,dokuwiki,inc/template.php,mixed_php_html_sql,1,1873,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0203,dokuwiki,inc/template.php,long_method_or_region,118,166,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0204,dokuwiki,inc/template.php,long_method_or_region,205,379,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0205,dokuwiki,inc/template.php,long_method_or_region,379,418,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0206,dokuwiki,inc/template.php,long_method_or_region,520,576,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0207,dokuwiki,inc/template.php,long_method_or_region,576,634,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0208,dokuwiki,inc/template.php,long_method_or_region,721,769,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0209,dokuwiki,inc/template.php,long_method_or_region,769,831,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0210,dokuwiki,inc/template.php,long_method_or_region,851,916,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0211,dokuwiki,inc/template.php,long_method_or_region,916,1003,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0212,dokuwiki,inc/template.php,long_method_or_region,1090,1150,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0213,dokuwiki,inc/template.php,long_method_or_region,1321,1372,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0214,dokuwiki,inc/template.php,long_method_or_region,1420,1484,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0215,dokuwiki,inc/template.php,long_method_or_region,1518,1561,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0216,dokuwiki,inc/template.php,long_method_or_region,1678,1729,dokuwiki_home_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0223,dokuwiki,lib/exe/css.php,long_method_or_region,29,183,dokuwiki_css_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0224,dokuwiki,lib/exe/css.php,long_method_or_region,537,576,dokuwiki_css_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0226,dokuwiki,lib/exe/js.php,long_method_or_region,29,163,dokuwiki_js_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0227,dokuwiki,lib/exe/js.php,long_method_or_region,219,262,dokuwiki_js_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0228,dokuwiki,lib/exe/js.php,long_method_or_region,262,305,dokuwiki_js_http,ELIGIBLE_PRE_TREATMENT
dokuwiki-C0229,dokuwiki,lib/exe/js.php,long_method_or_region,333,485,dokuwiki_js_http,ELIGIBLE_PRE_TREATMENT
kanboard-C0080,kanboard,app/Template/header.php,mixed_php_html,1,26,kanboard_login_http;kanboard_dashboard_auth_http,ELIGIBLE_PRE_TREATMENT
kanboard-C0081,kanboard,app/Template/layout.php,mixed_php_html,1,73,kanboard_login_http;kanboard_dashboard_auth_http,ELIGIBLE_PRE_TREATMENT
kanboard-C0092,kanboard,app/Template/auth/index.php,mixed_php_html,1,42,kanboard_login_http,ELIGIBLE_PRE_TREATMENT
kanboard-C0117,kanboard,app/Template/dashboard/layout.php,mixed_php_html,1,29,kanboard_dashboard_auth_http,ELIGIBLE_PRE_TREATMENT
kanboard-C0118,kanboard,app/Template/dashboard/overview.php,mixed_php_html,1,96,kanboard_dashboard_auth_http,ELIGIBLE_PRE_TREATMENT
kanboard-C0119,kanboard,app/Template/dashboard/projects.php,mixed_php_html,1,27,kanboard_dashboard_auth_http,ELIGIBLE_PRE_TREATMENT
