candidate_id,project,treatment,patch_format,applyability_status,message
dokuwiki-C0001,dokuwiki,T1-llm-only,codex_apply_patch,applyable_context,contexts_checked:3
dokuwiki-C0001,dokuwiki,T3-evidence-llm,codex_apply_patch,applyable_context,contexts_checked:3
dokuwiki-C0002,dokuwiki,T1-llm-only,codex_apply_patch,applyable_context,contexts_checked:4
dokuwiki-C0002,dokuwiki,T3-evidence-llm,codex_apply_patch,applyable_context,contexts_checked:2
dokuwiki-C0003,dokuwiki,T1-llm-only,codex_apply_patch,applyable_context,contexts_checked:2
dokuwiki-C0003,dokuwiki,T3-evidence-llm,codex_apply_patch,applyable_context,contexts_checked:4
dokuwiki-C0004,dokuwiki,T1-llm-only,codex_apply_patch,applyable_context,contexts_checked:5
dokuwiki-C0004,dokuwiki,T3-evidence-llm,codex_apply_patch,applyable_context,contexts_checked:3
dokuwiki-C0005,dokuwiki,T1-llm-only,codex_apply_patch,applyable_context,contexts_checked:1
dokuwiki-C0005,dokuwiki,T3-evidence-llm,codex_apply_patch,applyable_context,contexts_checked:2
dokuwiki-C0006,dokuwiki,T1-llm-only,codex_apply_patch,applyable_context,contexts_checked:4
dokuwiki-C0006,dokuwiki,T3-evidence-llm,codex_apply_patch,applyable_context,contexts_checked:2
dokuwiki-C0007,dokuwiki,T1-llm-only,unified_diff,applyable_context,deletion_contexts_present:4/4
dokuwiki-C0007,dokuwiki,T3-evidence-llm,codex_apply_patch,applyable_context,contexts_checked:1
dokuwiki-C0008,dokuwiki,T1-llm-only,unified_diff,applyable_context,deletion_contexts_present:7/7
dokuwiki-C0008,dokuwiki,T3-evidence-llm,codex_apply_patch,applyable_context,contexts_checked:2
dokuwiki-C0009,dokuwiki,T1-llm-only,codex_apply_patch,applyable_context,contexts_checked:5
dokuwiki-C0009,dokuwiki,T3-evidence-llm,codex_apply_patch,applyable_context,contexts_checked:4
dokuwiki-C0010,dokuwiki,T1-llm-only,codex_apply_patch,applyable_context,contexts_checked:1
dokuwiki-C0010,dokuwiki,T3-evidence-llm,unified_diff,applyable_context,deletion_contexts_present:7/7
dokuwiki-C0075,dokuwiki,T1-llm-only,codex_apply_patch,context_failed,context_not_found
dokuwiki-C0075,dokuwiki,T3-evidence-llm,codex_apply_patch,applyable_context,contexts_checked:2
dokuwiki-C0076,dokuwiki,T1-llm-only,codex_apply_patch,context_failed,context_not_found
dokuwiki-C0076,dokuwiki,T3-evidence-llm,codex_apply_patch,applyable_context,contexts_checked:4
dokuwiki-C0077,dokuwiki,T1-llm-only,codex_apply_patch,applyable_context,contexts_checked:6
dokuwiki-C0077,dokuwiki,T3-evidence-llm,codex_apply_patch,applyable_context,contexts_checked:3
dokuwiki-C0078,dokuwiki,T1-llm-only,codex_apply_patch,applyable_context,contexts_checked:1
