candidate_id,project,treatment,status,patch_generated,patch_format,patch_bytes,response_id
dokuwiki-C0001,dokuwiki,T1-llm-only,model_executed,true,codex_apply_patch,4187,resp_0a4907bd4e53633d006a06fcbdd88c81a396f35ffdf5d02b30
dokuwiki-C0001,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0001,dokuwiki,T3-evidence-llm,model_executed,true,codex_apply_patch,3440,resp_08a188f645eb4af7006a06fcdb66e8819494709765e66c10c9
dokuwiki-C0002,dokuwiki,T1-llm-only,model_executed,true,codex_apply_patch,15417,resp_018827dd4cdd589f006a06fcf85dd881a398beff12a62b45b7
dokuwiki-C0002,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0002,dokuwiki,T3-evidence-llm,model_executed,true,codex_apply_patch,3070,resp_0d74e3149af28281006a06fd29c114819da84dfb9bca3fa1c4
dokuwiki-C0003,dokuwiki,T1-llm-only,model_executed,true,codex_apply_patch,7369,resp_08f4ac8bcb665c32006a06fd4662dc8190a1e93bbc56b83086
dokuwiki-C0003,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0003,dokuwiki,T3-evidence-llm,model_executed,true,codex_apply_patch,10814,resp_0c61ca858207c5bd006a06fd6c4e2c81a39e780b8614f06657
dokuwiki-C0004,dokuwiki,T1-llm-only,model_executed,true,codex_apply_patch,5685,resp_04bb14bd815fda39006a06fd90990c8196a0aabd068f02277b
dokuwiki-C0004,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0004,dokuwiki,T3-evidence-llm,model_executed,true,codex_apply_patch,2095,resp_080e5700b9ee20ba006a06fdb05a0c819ca279000a0c0a7a7f
dokuwiki-C0005,dokuwiki,T1-llm-only,model_executed,true,codex_apply_patch,1648,resp_05036d90a9c7f65f006a06fc6325108190a2b4dbcd888530c3
dokuwiki-C0005,dokuwiki,T2-rule-static-only,not_applicable,false,none,0,
dokuwiki-C0005,dokuwiki,T3-evidence-llm,model_executed,true,codex_apply_patch,1475,resp_0a62cf8d0b8d0872006a06fc6a5e54819d94235d9d4f2be903
