candidate_id,project,treatment,patch_format,apply_status,syntax_status,syntax_message,candidate_loc_before,candidate_loc_after,candidate_complexity_before,candidate_complexity_after,loc_delta,complexity_delta,static_proxy_status,gate_outcome,workspace
dokuwiki-C0001,dokuwiki,T1-llm-only,codex_apply_patch,applied,PASS,doku.php: No syntax errors detected in /work/doku.php,102,132,26,28,30,2,worsened_proxy,accepted_syntax_static_proxy_worsened,workspaces/patch_gate/dokuwiki/dokuwiki-C0001/T1-llm-only
dokuwiki-C0001,dokuwiki,T3-evidence-llm,codex_apply_patch,applied,PASS,doku.php: No syntax errors detected in /work/doku.php,102,110,26,26,8,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/dokuwiki/dokuwiki-C0001/T3-evidence-llm
dokuwiki-C0002,dokuwiki,T1-llm-only,codex_apply_patch,applied,PASS,feed.php: No syntax errors detected in /work/feed.php,457,443,76,78,-14,2,improved_proxy,accepted_syntax_static_proxy_improved,workspaces/patch_gate/dokuwiki/dokuwiki-C0002/T1-llm-only
dokuwiki-C0002,dokuwiki,T3-evidence-llm,codex_apply_patch,applied,PASS,feed.php: No syntax errors detected in /work/feed.php,457,467,76,77,10,1,worsened_proxy,accepted_syntax_static_proxy_worsened,workspaces/patch_gate/dokuwiki/dokuwiki-C0002/T3-evidence-llm
dokuwiki-C0003,dokuwiki,T1-llm-only,codex_apply_patch,applied,PASS,feed.php: No syntax errors detected in /work/feed.php,457,622,76,106,165,30,worsened_proxy,accepted_syntax_static_proxy_worsened,workspaces/patch_gate/dokuwiki/dokuwiki-C0003/T1-llm-only
dokuwiki-C0003,dokuwiki,T3-evidence-llm,codex_apply_patch,applied,PASS,feed.php: No syntax errors detected in /work/feed.php,457,456,76,75,-1,-1,improved_proxy,accepted_syntax_static_proxy_improved,workspaces/patch_gate/dokuwiki/dokuwiki-C0003/T3-evidence-llm
dokuwiki-C0004,dokuwiki,T1-llm-only,codex_apply_patch,applied,PASS,install.php: No syntax errors detected in /work/install.php,541,564,88,88,23,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/dokuwiki/dokuwiki-C0004/T1-llm-only
dokuwiki-C0004,dokuwiki,T3-evidence-llm,codex_apply_patch,applied,PASS,install.php: No syntax errors detected in /work/install.php,541,544,88,88,3,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/dokuwiki/dokuwiki-C0004/T3-evidence-llm
dokuwiki-C0005,dokuwiki,T1-llm-only,codex_apply_patch,applied,PASS,install.php: No syntax errors detected in /work/install.php,541,545,88,88,4,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/dokuwiki/dokuwiki-C0005/T1-llm-only
dokuwiki-C0005,dokuwiki,T3-evidence-llm,codex_apply_patch,applied,PASS,install.php: No syntax errors detected in /work/install.php,541,550,88,88,9,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/dokuwiki/dokuwiki-C0005/T3-evidence-llm
dokuwiki-C0006,dokuwiki,T1-llm-only,codex_apply_patch,applied,PASS,install.php: No syntax errors detected in /work/install.php,541,550,88,88,9,0,non_worsening_complexity,accepted_syntax_static_proxy_non_worsening,workspaces/patch_gate/dokuwiki/dokuwiki-C0006/T1-llm-only
dokuwiki-C0006,dokuwiki,T3-evidence-llm,codex_apply_patch,applied,PASS,install.php: No syntax errors detected in /work/install.php,541,538,88,88,-3,0,improved_proxy,accepted_syntax_static_proxy_improved,workspaces/patch_gate/dokuwiki/dokuwiki-C0006/T3-evidence-llm
dokuwiki-C0007,dokuwiki,T1-llm-only,unified_diff,apply_failed,SKIP,error: corrupt patch at line 25,541,541,88,88,0,0,not_evaluated,rejected_apply,workspaces/patch_gate/dokuwiki/dokuwiki-C0007/T1-llm-only
dokuwiki-C0007,dokuwiki,T3-evidence-llm,codex_apply_patch,applied,PASS,install.php: No syntax errors detected in /work/install.php,541,534,88,88,-7,0,improved_proxy,accepted_syntax_static_proxy_improved,workspaces/patch_gate/dokuwiki/dokuwiki-C0007/T3-evidence-llm
dokuwiki-C0008,dokuwiki,T1-llm-only,unified_diff,apply_failed,SKIP,error: corrupt patch at line 52,541,541,88,88,0,0,not_evaluated,rejected_apply,workspaces/patch_gate/dokuwiki/dokuwiki-C0008/T1-llm-only
dokuwiki-C0008,dokuwiki,T3-evidence-llm,codex_apply_patch,applied,PASS,install.php: No syntax errors detected in /work/install.php,541,546,88,89,5,1,worsened_proxy,accepted_syntax_static_proxy_worsened,workspaces/patch_gate/dokuwiki/dokuwiki-C0008/T3-evidence-llm
dokuwiki-C0009,dokuwiki,T1-llm-only,codex_apply_patch,applied,PASS,install.php: No syntax errors detected in /work/install.php,541,551,88,90,10,2,worsened_proxy,accepted_syntax_static_proxy_worsened,workspaces/patch_gate/dokuwiki/dokuwiki-C0009/T1-llm-only
dokuwiki-C0009,dokuwiki,T3-evidence-llm,codex_apply_patch,applied,PASS,install.php: No syntax errors detected in /work/install.php,541,523,88,86,-18,-2,improved_proxy,accepted_syntax_static_proxy_improved,workspaces/patch_gate/dokuwiki/dokuwiki-C0009/T3-evidence-llm
