candidate_id,project,treatment,status,patch_generated
dokuwiki-C0001,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0001,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0001,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0002,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0002,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0002,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0003,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0003,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0003,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0004,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0004,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0004,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0005,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0005,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0005,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0006,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0006,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0006,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0007,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0007,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0007,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0008,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0008,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0008,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0009,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0009,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0009,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0010,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0010,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0010,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0074,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0074,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0074,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0075,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0075,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0075,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0076,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0076,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0076,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0077,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0077,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0077,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0078,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0078,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0078,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0079,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0079,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0079,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0080,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0080,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0080,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0081,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0081,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0081,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0082,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0082,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0082,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0083,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0083,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0083,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0084,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0084,dokuwiki,T2-rule-static-only,not_applicable,false
dokuwiki-C0084,dokuwiki,T3-evidence-llm,pending_model_execution,false
dokuwiki-C0085,dokuwiki,T1-llm-only,pending_model_execution,false
dokuwiki-C0085,dokuwiki,T2-rule-static-only,not_applicable,false
